X,adj,noun,session,n,adj_stem,noun_stem,article,network_id,attncheckscore,x1,x2,x3,x4,x5,range,mean_typ
2092,purple,guy,7,4,purpl,gui,a,17,1,1,1,1,1,NA,0,1
2093,purple,screw,7,4,purpl,screw,a,37,1,2,1,3,NA,NA,1,2
2094,purple,snake,7,4,purpl,snake,a,64,1,2,1,2,2,NA,1,1.75
2095,square,piece,7,4,squar,piec,a,42,1,2,3,3,3,NA,1,2.75
2096,wet,towel,7,4,wet,towel,a,3,1,6,4,4,4,NA,2,4.5
2097,brown,eye,7,3,brown,ey,an,37,1,3,4,3,NA,NA,1,3.3333333333333335
2098,brown,mountain,7,3,brown,mountain,a,86,1,6,1,5,1,NA,5,3.25
2099,dirty,car,7,3,dirti,car,a,92,1,5,5,5,5,NA,0,5
2100,dirty,house,7,3,dirti,hous,a,8,1,3,2,3,4,NA,1,3
2101,furry,tail,7,3,furri,tail,a,60,1,5,5,4,6,5,0,5
2102,green,color,7,3,green,color,a,35,1,3,3,5,5,NA,0,4
2103,green,crayon,7,3,green,crayon,a,86,1,5,4,3,4,NA,1,4
2104,green,guy,7,3,green,gui,a,102,1,1,1,1,1,NA,0,1
2105,green,hand,7,3,green,hand,a,12,1,2,1,2,2,NA,1,1.75
2106,green,pig,7,3,green,pig,a,8,1,1,2,1,1,NA,1,1.25
2107,hot,slide,7,3,hot,slide,a,75,1,3,3,3,3,NA,0,3
2108,hot,tea,7,3,hot,tea,NA,68,1,4,4,4,6,NA,0,4.5
2109,hot,water,7,3,hot,water,NA,92,1,6,5,5,4,NA,1,5
2110,juicy,pear,7,3,juici,pear,a,38,1,5,5,3,5,NA,0,4.5
2111,orange,ball,7,3,orang,ball,a,93,1,3,2,3,4,NA,1,3
2112,orange,ball,7,3,orang,ball,a,93,1,3,2,3,4,NA,1,3
2113,orange,beak,7,3,orang,beak,a,13,1,4,4,5,3,NA,0,4
2114,orange,milk,7,3,orang,milk,NA,57,1,1,1,1,1,NA,0,1
2115,orange,tail,7,3,orang,tail,a,4,1,3,3,3,3,NA,0,3
2116,pink,cup,7,3,pink,cup,a,9,1,3,3,3,3,NA,0,3
2117,pink,egg,7,3,pink,egg,an,34,1,2,2,2,2,NA,0,2
2118,purple,nose,7,3,purpl,nose,a,84,1,3,2,1,1,NA,1,1.75
2119,red,cab,7,3,red,cab,a,22,1,3,2,2,2,NA,1,2.25
2120,red,car,7,3,red,car,a,12,1,3,3,3,3,NA,0,3
2121,red,cheese,7,3,red,chees,NA,20,1,2,1,1,1,NA,1,1.25
2122,red,truck,7,3,red,truck,a,23,1,2,3,3,5,NA,1,3.25
2123,rubber,band,7,3,rubber,band,a,99,1,3,1,6,4,NA,2,3.5
2124,sweet,potato,7,3,sweet,potato,a,94,1,2,3,3,3,NA,1,2.75
2125,wet,hand,7,3,wet,hand,a,70,1,4,2,3,3,NA,2,3
2126,wet,paper,7,3,wet,paper,a,32,1,2,3,3,4,NA,1,3
2127,blonde,hair,7,2,blond,hair,a,2,1,3,3,3,3,NA,0,3
2128,bright,star,7,2,bright,star,a,3,1,7,6,6,7,NA,1,6.5
2129,brown,sky,7,2,brown,sky,a,42,1,1,1,1,1,NA,0,1
2130,buttered,dough,7,2,butter,dough,NA,1,1,2,5,2,3,NA,3,3
2131,colored,light,7,2,color,light,a,81,1,4,4,3,NA,NA,0,3.6666666666666665
2132,dark,yellow,7,2,dark,yellow,a,14,1,7,3,4,NA,NA,4,4.666666666666667
2133,dirty,diaper,7,2,dirti,diaper,a,80,1,4,6,5,3,NA,2,4.5
2134,dirty,laundry,7,2,dirti,laundri,NA,53,1,4,5,5,5,NA,1,4.75
2135,green,finger,7,2,green,finger,a,82,1,2,2,1,1,NA,0,1.5
2136,green,fish,7,2,green,fish,a,51,1,2,3,2,3,NA,1,2.5
2137,green,grass,7,2,green,grass,NA,4,1,6,6,7,7,NA,0,6.5
2138,green,leaf,7,2,green,leaf,a,75,1,6,4,5,6,NA,2,5.25
2139,green,slide,7,2,green,slide,a,44,1,3,2,3,2,NA,1,2.5
2140,green,tree,7,2,green,tree,a,6,1,5,5,6,NA,NA,0,5.333333333333333
2141,grey,dog,7,2,grei,dog,a,36,1,3,3,3,3,NA,0,3
2142,hot,broccoli,7,2,hot,broccoli,NA,62,1,5,5,6,4,NA,0,5
2143,hot,honey,7,2,hot,honei,NA,30,1,3,3,3,3,NA,0,3
2144,orange,egg,7,2,orang,egg,an,48,1,1,3,2,2,NA,2,2
2145,orange,finger,7,2,orang,finger,a,45,1,2,2,1,1,NA,0,1.5
2146,orange,fish,7,2,orang,fish,a,64,1,4,3,3,3,NA,1,3.25
2147,orange,ladybug,7,2,orang,ladybug,a,50,1,2,5,2,6,NA,3,3.75
2148,orange,lip,7,2,orang,lip,a,103,1,3,4,3,1,NA,1,2.75
2149,orange,top,7,2,orang,top,a,8,1,2,3,3,2,NA,1,2.5
2150,pink,elephant,7,2,pink,eleph,an,59,1,2,1,1,1,NA,1,1.25
2151,pink,flower,7,2,pink,flower,a,22,1,3,5,3,3,NA,2,3.5
2152,pink,muffin,7,2,pink,muffin,a,54,1,3,3,2,2,NA,0,2.5
2153,pink,pig,7,2,pink,pig,a,57,1,5,6,5,6,NA,1,5.5
2154,plastic,piece,7,2,plastic,piec,a,33,1,1,4,3,4,NA,3,3
2155,purple,bear,7,2,purpl,bear,a,96,1,1,1,1,NA,NA,0,1
2156,purple,cap,7,2,purpl,cap,a,39,1,2,6,3,NA,NA,4,3.6666666666666665
2157,purple,dot,7,2,purpl,dot,a,73,1,2,3,3,NA,NA,1,2.6666666666666665
2158,purple,finger,7,2,purpl,finger,a,97,1,2,2,1,2,NA,0,1.75
2159,purple,hat,7,2,purpl,hat,a,18,1,3,3,4,3,NA,0,3.25
2160,purple,ladybug,7,2,purpl,ladybug,a,1,1,1,1,1,2,NA,0,1.25
2161,raspberry,yogurt,7,2,raspberri,yogurt,NA,82,1,3,3,3,3,NA,0,3
2162,red,chair,7,2,red,chair,a,109,1,2,3,3,3,NA,1,2.75
2163,red,chicken,7,2,red,chicken,a,71,1,1,2,3,4,NA,1,2.5
2164,red,circle,7,2,red,circl,a,75,1,3,3,2,3,NA,0,2.75
2165,red,letter,7,2,red,letter,a,53,1,1,3,5,3,NA,2,3
2166,red,scissor,7,2,red,scissor,a,58,1,3,3,4,3,NA,0,3.25
2167,red,shirt,7,2,red,shirt,a,29,1,3,4,3,3,NA,1,3.25
2168,red,spot,7,2,red,spot,a,6,1,3,4,7,NA,NA,1,4.666666666666667
2169,red,top,7,2,red,top,a,58,1,3,3,3,3,NA,0,3
2170,red,tree,7,2,red,tree,a,98,1,2,2,2,NA,NA,0,2
2171,salty,sweet,7,2,salti,sweet,a,107,1,3,5,3,3,NA,2,3.5
2172,soapy,water,7,2,soapi,water,NA,11,1,5,5,5,5,NA,0,5
2173,wooden,tooth,7,2,wooden,tooth,a,32,1,1,2,1,3,NA,1,1.75
2174,yellow,bird,7,2,yellow,bird,a,22,1,3,3,3,3,NA,0,3
2176,yellow,circle,7,2,yellow,circl,a,39,1,3,3,6,NA,NA,0,4
2177,yellow,clay,7,2,yellow,clai,NA,8,1,5,3,3,3,NA,2,3.5
